id,label,timeset,state,totalMig,totalNonMig,population,unemployment
1001,Autauga County,,AL,5936,53711,59647,2.9
1003,Baldwin County,,AL,10318,167596,177914,2.8
1005,Barbour County,,AL,1669,26144,27813,4.9
1007,Bibb County,,AL,1369,21216,22585,3.6
1009,Blount County,,AL,3241,54044,57285,2.8
1011,Bullock County,,AL,543,8545,9088,7.7
1013,Butler County,,AL,1148,22112,23260,4.9
1015,Calhoun County,,AL,6564,123877,130441,3.5
1017,Chambers County,,AL,2174,39123,41297,5.0
1019,Cherokee County,,AL,1429,24670,26099,3.6
1021,Chilton County,,AL,2170,42336,44506,3.1
1023,Choctaw County,,AL,710,14944,15654,4.8
1025,Clarke County,,AL,1404,29643,31047,5.4
1027,Clay County,,AL,769,15551,16320,3.9
1029,Cleburne County,,AL,876,14461,15337,3.0
1031,Coffee County,,AL,5042,45883,50925,3.2
1033,Colbert County,,AL,3324,59337,62661,4.0
1035,Conecuh County,,AL,812,13834,14646,4.9
1037,Coosa County,,AL,1029,11597,12626,4.8
1039,Covington County,,AL,1937,37736,39673,3.3
1041,Crenshaw County,,AL,963,14541,15504,3.4
1043,Cullman County,,AL,3626,82756,86382,2.9
1045,Dale County,,AL,7580,47217,54797,4.0
1047,Dallas County,,AL,2324,46715,49039,7.1
1049,DeKalb County,,AL,3375,69465,72840,3.6
1051,Elmore County,,AL,6654,78919,85573,2.9
1053,Escambia County,,AL,1927,37282,39209,4.3
1055,Etowah County,,AL,5042,108424,113466,3.6
1057,Fayette County,,AL,1071,17739,18810,3.7
1059,Franklin County,,AL,1875,31560,33435,4.0
1061,Geneva County,,AL,1932,25205,27137,3.2
1063,Greene County,,AL,526,9498,10024,4.8
1065,Hale County,,AL,993,18258,19251,4.5
1067,Henry County,,AL,1258,17578,18836,3.5
1069,Houston County,,AL,6625,101033,107658,2.9
1071,Jackson County,,AL,2657,56375,59032,3.8
1073,Jefferson County,,AL,39192,703435,742627,3.4
1075,Lamar County,,AL,773,15660,16433,4.5
1077,Lauderdale County,,AL,4613,93967,98580,3.6
1079,Lawrence County,,AL,1867,36744,38611,4.1
1081,Lee County,,AL,10498,117708,128206,2.9
1083,Limestone County,,AL,4191,76860,81051,3.1
1085,Lowndes County,,AL,1169,14244,15413,6.6
1087,Macon County,,AL,1735,21398,23133,4.6
1089,Madison County,,AL,18043,344660,362703,2.8
1091,Marengo County,,AL,1239,22893,24132,4.0
1093,Marion County,,AL,1585,28735,30320,3.8
1095,Marshall County,,AL,5174,92348,97522,3.0
1097,Mobile County,,AL,17348,416617,433965,3.6
1099,Monroe County,,AL,1279,25058,26337,5.2
1101,Montgomery County,,AL,19333,241870,261203,3.6
1103,Morgan County,,AL,6944,126225,133169,3.5
1105,Perry County,,AL,643,11106,11749,7.3
1107,Pickens County,,AL,1152,20887,22039,4.3
1109,Pike County,,AL,2155,27775,29930,3.5
1111,Randolph County,,AL,1227,22603,23830,4.6
1113,Russell County,,AL,5950,50785,56735,5.1
1115,St. Clair County,,AL,4963,77040,82003,3.0
1117,Shelby County,,AL,15216,188828,204044,2.3
1119,Sumter County,,AL,844,13555,14399,5.9
1121,Talladega County,,AL,4766,83934,88700,4.5
1123,Tallapoosa County,,AL,2488,43338,45826,4.4
1125,Tuscaloosa County,,AL,9922,178362,188284,2.8
1127,Walker County,,AL,3130,67921,71051,3.9
1129,Washington County,,AL,1014,18007,19021,5.0
1131,Wilcox County,,AL,732,12974,13706,7.5
1133,Winston County,,AL,1538,24844,26382,4.3
2013,Aleutians East Borough,,AK,280,1603,1883,8.4
2016,Aleutians West Census Area,,AK,769,4171,4940,5.6
2020,Anchorage Municipality,,AK,29333,293869,323202,5.2
2050,Bethel Census Area,,AK,1081,16686,17767,13.0
2060,Bristol Bay Borough,,AK,175,1154,1329,5.3
